,street,neighborhood,streetLatitude,streetLongitude,venue,venueLatitude,venueLongitude,venueCategory
0,6031 Thomas Ave S,"Armatage, Minneapolis",44.893322999999995,-93.313384,"Wagner Greenhouses, Inc.",44.892826853827515,-93.30937833541726,Flower Shop
1,6031 Thomas Ave S,"Armatage, Minneapolis",44.893322999999995,-93.313384,Domino's Pizza,44.89477011351147,-93.30820843577385,Pizza Place
2,6031 Thomas Ave S,"Armatage, Minneapolis",44.893322999999995,-93.313384,Goat Cheese Heaven,44.896551394544026,-93.31210689303344,Greek Restaurant
3,6031 Thomas Ave S,"Armatage, Minneapolis",44.893322999999995,-93.313384,Super USA,44.8946084277481,-93.30857700405524,Convenience Store
4,6031 Thomas Ave S,"Armatage, Minneapolis",44.893322999999995,-93.313384,"Bus Stop for Metro Transit Bus 6C, E, & K.",44.8938874079642,-93.31876422640467,Bus Station
5,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Red Wagon Pizza Company,44.90461964315404,-93.30875120946088,Pizza Place
6,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Colita,44.904919960801095,-93.30902113913874,Mexican Restaurant
7,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Book Club,44.90460361332652,-93.30848162328678,Restaurant
8,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Armatage Park,44.89945914573085,-93.31088271059494,Park
9,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Snap Fitness,44.904665808366495,-93.308502530493,Gym
10,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Kwan's Chinese Cuisine,44.90467766981271,-93.30871259580493,Chinese Restaurant
11,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Dreadlocks For Dingoes,44.904705766858,-93.30856919288635,Pet Store
12,5504 Richmond Curv,"Armatage, Minneapolis",44.903069,-93.311553,Armatage Skate Park,44.899742126464844,-93.3105697631836,Skate Park
13,5737 Sheridan Ave S,"Armatage, Minneapolis",44.898643,-93.31211400000001,Armatage Park,44.89945914573085,-93.31088271059494,Park
14,5737 Sheridan Ave S,"Armatage, Minneapolis",44.898643,-93.31211400000001,Armatage Skate Park,44.899742126464844,-93.3105697631836,Skate Park
15,5737 Sheridan Ave S,"Armatage, Minneapolis",44.898643,-93.31211400000001,Minnehaha Creek,44.89772177407137,-93.31142455324711,Trail
16,5737 Sheridan Ave S,"Armatage, Minneapolis",44.898643,-93.31211400000001,Campbell  Ron Interiors,44.897104,-93.307806,Furniture / Home Store
17,5822 Upton Ave S,"Armatage, Minneapolis",44.89721,-93.31537800000001,Armatage Park,44.89945914573085,-93.31088271059494,Park
18,5822 Upton Ave S,"Armatage, Minneapolis",44.89721,-93.31537800000001,Minnehaha Creek,44.89772177407137,-93.31142455324711,Trail
19,5822 Upton Ave S,"Armatage, Minneapolis",44.89721,-93.31537800000001,LUGERTnDAY,44.899328000000004,-93.319117,Costume Shop
20,5822 Upton Ave S,"Armatage, Minneapolis",44.89721,-93.31537800000001,"Bus Stop for Metro Transit Bus 6C, E, & K.",44.8938874079642,-93.31876422640467,Bus Station
21,5822 Upton Ave S,"Armatage, Minneapolis",44.89721,-93.31537800000001,Armatage Skate Park,44.899742126464844,-93.3105697631836,Skate Park
22,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,Red Wagon Pizza Company,44.90461964315404,-93.30875120946088,Pizza Place
23,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,Colita,44.904919960801095,-93.30902113913874,Mexican Restaurant
24,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,Book Club,44.90460361332652,-93.30848162328678,Restaurant
25,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,Snap Fitness,44.904665808366495,-93.308502530493,Gym
26,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,Kwan's Chinese Cuisine,44.90467766981271,-93.30871259580493,Chinese Restaurant
27,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,Dreadlocks For Dingoes,44.904705766858,-93.30856919288635,Pet Store
28,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,All Hours Sewer & Drain,44.90602,-93.30518,Home Service
29,5520 Morgan Ave S,"Armatage, Minneapolis",44.902484,-93.305194,Armatage Soccer Fields,44.899572,-93.309832,Soccer Field
30,2521 W 60th St,"Armatage, Minneapolis",44.894086,-93.312273,Domino's Pizza,44.89477011351147,-93.30820843577385,Pizza Place
31,2521 W 60th St,"Armatage, Minneapolis",44.894086,-93.312273,"Wagner Greenhouses, Inc.",44.892826853827515,-93.30937833541726,Flower Shop
32,2521 W 60th St,"Armatage, Minneapolis",44.894086,-93.312273,Goat Cheese Heaven,44.896551394544026,-93.31210689303344,Greek Restaurant
33,2521 W 60th St,"Armatage, Minneapolis",44.894086,-93.312273,Super USA,44.8946084277481,-93.30857700405524,Convenience Store
34,2521 W 60th St,"Armatage, Minneapolis",44.894086,-93.312273,Minnehaha Creek,44.89772177407137,-93.31142455324711,Trail
35,2521 W 60th St,"Armatage, Minneapolis",44.894086,-93.312273,Campbell  Ron Interiors,44.897104,-93.307806,Furniture / Home Store
36,5904 Upton Ave S,"Armatage, Minneapolis",44.895926,-93.31537800000001,Goat Cheese Heaven,44.896551394544026,-93.31210689303344,Greek Restaurant
37,5904 Upton Ave S,"Armatage, Minneapolis",44.895926,-93.31537800000001,"Bus Stop for Metro Transit Bus 6C, E, & K.",44.8938874079642,-93.31876422640467,Bus Station
